N	mean	var	loss	bw	B	MaxB	Silence	Bp	out
109	2.633905	0.220099	0.006507	3.480881	81	109	3.291016	44.921875	2
71	0.513240	0.050264	0.000000	0.658030	314	390	4.853516	17.421875	2
91	2.423395	0.189674	0.000304	3.251353	42	140	2.353516	37.421875	2
81	1.103209	0.063354	0.255354	0.805101	147	265	3.603516	27.421875	1
101	5.243495	0.164120	0.243811	3.999497	0	15	1.103516	47.421875	1
76	0.777844	0.077599	0.044873	0.753896	422	453	4.228516	22.421875	1
96	3.684148	0.185587	0.032166	3.583724	87	203	1.728516	42.421875	1
86	0.620801	0.057449	0.508861	0.316936	223	328	2.978516	12.421875	1
106	5.451248	0.134057	0.465281	2.947924	14	78	0.478516	32.421875	1
98	1.598777	0.042707	0.319300	1.080728	114	218	0.634766	11.171875	1
78	1.404335	0.105656	0.021122	1.448517	11	468	3.134766	31.171875	1
108	1.883183	0.107341	0.037094	1.863477	72	93	1.884766	21.171875	1
88	1.643897	0.133574	0.202816	1.312458	94	343	4.384766	41.171875	1
93	5.664741	0.003477	0.570845	2.430260	101	156	0.009766	26.171875	1
73	2.164833	0.173467	0.212222	1.784137	61	406	2.509766	46.171875	1
103	1.711276	0.077708	0.265899	1.286650	27	31	1.259766	16.171875	1
83	1.477379	0.165246	0.430944	0.848456	112	281	3.759766	36.171875	1
95	1.349589	0.067222	0.000000	2.089915	21	250	2.822266	23.671875	2
75	5.820655	0.100868	0.515009	2.799849	293	500	0.322266	43.671875	1
105	0.686100	0.060030	0.000000	1.037114	42	125	4.072266	13.671875	2
85	2.680830	0.119001	0.462567	1.382612	314	375	1.572266	33.671875	1
90	0.931076	0.074418	0.000000	1.392980	39	187	3.447266	18.671875	2
70	3.366153	0.118146	0.460475	1.757966	311	437	0.947266	38.671875	1
100	1.204729	0.116958	0.000498	1.754478	28	62	4.697266	28.671875	2
80	2.797966	0.221784	0.543784	1.296233	300	312	2.197266	48.671875	1
101	0.913204	0.063470	0.000000	1.476324	222	351	4.306641	19.296875	2
81	2.701911	0.194403	0.403856	1.546301	13	101	1.806641	39.296875	1
91	1.511896	0.102803	0.000000	2.567929	421	476	3.056641	29.296875	2
71	5.236677	0.189689	0.474987	2.813167	86	226	0.556641	49.296875	1
106	1.028335	0.075079	0.000000	1.667935	147	289	4.931641	24.296875	2
86	2.563969	0.185095	0.487236	1.315739	0	39	2.431641	44.296875	1
96	0.662888	0.040886	0.000000	1.184881	314	414	3.681641	14.296875	2
76	2.804208	0.155462	0.410222	1.655258	42	164	1.181641	34.296875	1
103	2.074943	0.101310	0.016272	2.082518	63	320	2.119141	26.796875	0
83	1.693278	0.150920	0.304564	1.134000	48	70	4.619141	46.796875	1
93	1.996510	0.075720	0.252407	1.481244	199	445	0.869141	16.796875	1
73	1.384056	0.160370	0.078965	1.419887	184	195	3.369141	36.796875	1
108	1.212801	0.072874	0.246785	0.902877	18	257	1.494141	11.796875	1
88	1.333095	0.091333	0.552247	0.590877	4	7	3.994141	31.796875	1
98	4.062028	0.036739	0.493989	2.037032	123	382	0.244141	21.796875	1
78	1.999493	0.143368	0.257421	1.500759	108	132	2.744141	41.796875	1
87	0.898765	0.057421	0.245691	0.718674	11	23	3.525391	20.546875	1
107	5.014562	0.150241	0.259108	3.750793	267	273	1.025391	40.546875	1
77	0.363918	0.039284	0.000000	0.464559	33	148	4.775391	10.546875	2
97	2.064942	0.111270	0.000000	2.926864	289	398	2.275391	30.546875	2
82	0.808726	0.070040	0.479160	0.428686	30	85	2.900391	15.546875	1
102	6.085585	0.106447	0.471380	3.218811	285	335	0.400391	35.546875	1
72	0.857255	0.079994	0.012556	0.886919	21	210	4.150391	25.546875	0
92	3.644944	0.193967	0.009273	3.818284	277	460	1.650391	45.546875	0
89	2.509825	0.011276	0.568875	1.083301	49	54	0.087891	13.046875	1
109	2.293249	0.118200	0.005646	2.744518	126	304	2.587891	33.046875	0
79	1.864383	0.089810	0.330084	1.216306	119	179	1.337891	23.046875	1
99	2.081862	0.208370	0.000000	3.990916	71	429	3.837891	43.046875	2
84	3.269596	0.080268	0.566128	1.419463	92	117	0.712891	28.046875	1
104	2.736653	0.234235	0.005839	3.262671	106	367	3.212891	48.046875	0
74	1.089548	0.061397	0.345714	0.711660	130	242	1.962891	18.046875	1
94	1.594065	0.136854	0.000000	2.977223	20	492	4.462891	38.046875	2
84	0.752276	0.037746	0.000000	0.807443	57	449	2.626953	13.984375	0
104	7.393489	0.055584	0.570785	3.163439	124	199	0.126953	33.984375	1
